ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
305,adhesive,"-ziv,adˈhēsiv",adjective,ragasztóanyag,adherent|sticky|tacky|glutinous|viscous|gummy,tapadó|ragadós|enyvezett
306,adieu,"äˈdyœ,əˈd(y)o͞o",verb,"Isten veletek",,"búcsút vesz vkitől"
307,adipose,ˈadəˌpōs,adjective,kövér,fat|plump|corpulent|lumping|gross,
308,adiposity,,,kövérség,,
309,adjacency,,noun,szomszédosság,contiguity,
310,adjacent,əˈjāsənt,adjective,szomszédos,"neighboring|nearby|adjoining|neighbor|next door|close|nearby|near|close to|nigh|contiguous|neighboring|confined|bounded|circumjacent","egymás melletti|közeli|határos|szomszéd|egymás mellett lévő|egymás mellett fekvő|szomszédság|közös határral bíró|tőszomszédságban lévő"
311,adjoin,əˈjoin,verb,csatlakozik,"join|join in|affiliate|link|combine|unite|join|incorporate|integrate",egyesít
312,adjoining,əˈjoiniNG,adjective,szomszédos,"adjacent|neighboring|nearby|neighbor|next door",
313,adjourn,əˈjərn,verb,berekeszt,"postpone|put off|defer|delay|leave over|put off|prorogue|hang up",elhalaszt|elnapol
314,adjudge,əˈjəj,verb,"döntést hoz",,
315,adjudicate,əˈjo͞odiˌkāt,verb,határozni,"award|decide|take a position|arbitrate","odaítél|eldönt|bírói határozatot hoz"
316,adjudicator,əˈjo͞odiˌkātər,,döntőbíró,,
317,adjunct,ˈajəNGkt,adjective,járulékos,incremental|appurtenant,
318,adjuration,,noun,"ünnepélyes kérés",,
319,adjure,əˈjo͝or,verb,kér,ask|request|demand|petition|beg|conjure,"ünnepélyesen felszólít"
320,adjust,əˈjəst,verb,beállítani,"go by|orient|tune in|ship|control|regulate|modulate|regularize|repair|regulate|refit|set right|readjust|correct|rectify","igazodik|beállít|igazít|szabályoz|rendbe hoz|helyesbít"
321,adjustable,əˈjəstəbəl,adjective,állítható,regulable,szabályozható
322,adjustment,əˈjəstmənt,noun,beállítás,"setting|trimming|focusing|focussing|presentation|camera calibration|disposal|arrangement|ranging|adjustment of fire|registration fire",beszabályozás|elintézés|megigazítás|belövés
323,adjutant,ˈajətənt,noun,szárnysegéd,"doggie|aide-de-camp|aide|aide-de-camp|military assistant|personnel adjutant",segédtiszt|adjutáns
324,ad-lib,,,rögtönöz,,
325,admeasurement,,,admeasurement,,
326,administer,ədˈminəstər,verb,beadására,"manage|treat|handle|operate|maintain|govern|steer|rule|reign|pilot|manage|administrate|direct|conduct|run|take charge of|use|apply|employ|hire|ply|arrange|manage|lead|drive|guide|head|conduct|give|provide|bestow|hand|inflict|control|direct|manage|guide|steer|supply|cater|provide|tend|fit up|stretch|afford|render|extend|dilate|contribute|consent|cooperate|redound",kezel|kormányoz|adminisztrál|igazgat|gondoskodik|alkalmaz|intéz|vezet|ad|irányít|ellát|nyújt|hozzájárul
327,"administer to",,,adminisztrálja,,
328,administrant,,,beadás,,
329,administrate,,verb,igazgat,manage|administer|direct|conduct|run,
330,administration,ədˌminəˈstrāSHən,noun,adminisztráció,"management|office work|conduct|ruling|control|guidance|direction|leadership|navigation|civil service|government|polity|statecraft",ügyintézés|igazgatás|irányítás|ügykezelés|államapparátus|államvezetés
331,administrative,"-strətiv,ədˈminiˌstrātiv",adjective,közigazgatási,magisterial|clerkly,adminisztratív|hivatali
332,administrator,ədˈminəˌstrātər,noun,adminisztrátor,clerk,ügyintéző|ügykezelő
333,admirable,ˈadmərəbəl,adjective,"csodálatra méltó",wonderful|marvelous|miraculous|wondrous|portentous|superb|magnificent|gorgeous|grandiose|jolly,csodálatos|nagyszerű
334,admiration,ˌadməˈrāSHən,noun,csodálat,,bámulat
335,admire,ədˈmī(ə)r,verb,csodál,"take pleasure in",gyönyörködik
336,admiring,,verb,megcsodálta,"admire|admire|take pleasure in",csodál|gyönyörködik
337,admiringly,,,elismerően,,
338,admissible,ədˈmisəbəl,adjective,elfogadható,acceptable|passable|permissible|allowable,megengedhető
339,admission,ədˈmiSHən,noun,belépés,entry|access|entrance|entree|incoming|recognition|acknowledgment|accolade|probate|acceptance|ratification|adhesion|admittance,"elismerés|elfogadás|belépési engedély"
340,admit,ədˈmit,verb,beismerni,"acknowledge|recognize|concede|avow|confess|own up|take up|enroll|take on|pull on|withdraw|let in|confess|let on|disbosom|own up",elismer|beismer|felvesz|beenged|bevall
341,"admit of",,,elismerik,,
342,admittance,ədˈmitns,noun,bejárás,admission,"bebocsátás|belépési engedély"
343,admittedly,ədˈmitidlē,adverb,kétségkívül,,
344,admixture,adˈmiksCHər,noun,keverék,mix|mixture|blend|compound|hybrid|addition|apposition,hozzáadás
345,admonish,ədˈmäniSH,verb,figyelmeztet,warn|caution|indicate|forewarn|exhort,megint
346,admonishing,,verb,intelmeit,warn|caution|admonish|indicate|forewarn|exhort|admonish,figyelmeztet|megint
347,admonishment,,noun,intés,monition|beck,
348,admonition,ˌadməˈniSHən,noun,figyelmeztetés,"warning|notice|notification|reminder|caution|reprimand|talking to|carpeting|dressing-down",dorgálás
349,admonitory,ədˈmänəˌtôrē,adjective,figyelmeztető,cautionary|premonitory|monitory|exhortative|monitorial,intő
350,ado,əˈdo͞o,noun,hűhó,ballyhoo|rumpus|upturn|roundup|turn-up|excitement|thrill|excitation|flurry|furore,felhajtás|izgalom
351,adolescence,ˌadlˈesəns,noun,serdülőkor,teens,kamaszkori
352,adolescent,ˌadlˈesənt,adjective,serdülő,pubescent|juvenescent,kamasz
353,adopt,əˈdäpt,verb,elfogad,"accept|recognize|adapt|acknowledge|put up with|accept|take it into","örökbe fogad|befogad|felvesz szokást"
354,adorable,əˈdôrəbəl,adjective,"imádni való",charming|captivating|ravishing|fetching|pleasurable,elragadó
355,adore,əˈdôr,verb,rajong,rave|worship,imád
356,adoring,,verb,imádó,adore|rave|worship|adore,rajong|imád
357,adorn,əˈdôrn,verb,szépít,beautify|prettify|decorate|garnish|embellish|ornament|ornate,díszít
358,adorning,,verb,díszítő,beautify|adorn|prettify|decorate|garnish|embellish|ornament|adorn|ornate,szépít|díszít
359,adornment,əˈdôrnmənt,noun,díszítés,decoration|ornament|ornamentation|embellishment|fancywork|decoration,dekoráció
360,adroit,əˈdroit,adjective,ügyes,clever|skillful|skilful|deft|good|pointful,talpraesett
361,adroitly,,,ügyesen,,
362,adroitness,əˈdroitnis,,adroitness,,
363,adulate,ˈajəˌlāt,verb,"hízeleg vkinek",wheedle|soft-soap,
364,adulation,ˌajəˈlāSHən,noun,hízelgés,flattery|taffy|coaxing|palaver|sawder|sycophancy|toadyism|toad-eating,talpnyalás
365,adulatory,ˌajəˈlātôrē,adjective,hízelgő,flattering|complimentary|coaxing|smarmy|sycophantic,
366,adult,"əˈdəlt,ˈadˌəlt",adjective,felnőtt,grown|full-grown,
367,adulterant,əˈdəltərənt,noun,szennyezőanyag,pollutant,
368,adulterate,əˈdəltəˌrāt,verb,hamisít,"fake|falsify|counterfeit|debase|cook|commit adultery","házasságtörést követ el"
369,adulterated,,,hamisított,,
370,adulterine,,,házasságtörő,,
371,adulterous,əˈdəlt(ə)rəs,adjective,házasságtörő,disloyal|treacherous|unfaithful|faithless|trustless,hűtlen
372,adultery,əˈdəlt(ə)rē,noun,házasságtörés,idolatry,bálványimádás
373,adulthood,,noun,felnőttkor,,felnőttség
374,adultness,,,adultness,,
375,adumbrate,"əˈdəm-,ˈadəmˌbrāt",verb,vázol,"sketch|delineate|scheme|trace|draw up|tell fortunes|augur|bode",felvázol|jósol
376,advance,ədˈvans,noun,előleg,"down payment|deposit|progress|advancement|progression|progressive|course|thrust",haladás|előrevonás|előrenyomulás
377,advanced,ədˈvanst,adjective,fejlett,"developed|advance|going|progressive|far gone|too far gone|updated|advance|improved",haladó|előrehaladott|fejlesztett|korszerűsített
378,advancement,ədˈvansmənt,noun,haladás,progress|advance|progression|progressive|course|development|evolution|progression|promotion|preferment|nomination,fejlődés|előléptetés
379,advantage,ədˈvantij,noun,előny,preference|benefit|profit|vantage|virtue|benefit|profit|gain|proceeds|lucre|superiority|supremacy|dominance|vantage|prepotency,haszon|fölény
380,advantageous,ˌadvənˈtājəs,adjective,előnyös,beneficial|useful|helpful|effective|profitable|salutary,hasznos
381,advent,ˈadˌvent,noun,megérkezés,coming,eljövetel
382,adventitious,ˌadvenˈtiSHəs,adjective,véletlen,random|accidental|incidental|fortuitous|occasional|incidental|accidental|contingent|haphazard|promiscuous,esetleges
383,adventure,"adˈvenCHər,əd-",noun,kaland,escapade|risk|hazard|chance|venture|jeopardy|happening|incidence,kockázat|történés
384,adventuresome,"adˈvenCHərsəm,əd-",,kalandvágyó,,
385,adventurous,"adˈvenCHərəs,əd-",adjective,kalandos,cloak-and-dagger|daring|presumptuous|brave|valiant|intrepid|enterprising|venturesome,"merész|vállalkozó szellemű"
386,adversarial,ˌadvərˈse(ə)rēəl,,ellenséges,,
387,adversary,ˈadvərˌserē,noun,ellenség,enemy|foe|antagonist|opponent|foe|antagonist,ellenfél|ellenséges
388,adverse,"adˈvərs,ˈadvərs",adjective,kedvezőtlen,contrary|inverse|recalcitrant|dissentient|opposing,"ellenkező|szemben álló|átellenes"
389,adversity,adˈvərsitē,noun,balsors,calamity|disaster|strike|stroke|plague|calamity,csapás
390,"advert to",,,hirdetés,,
391,advertence,,,advertence,,
392,advertency,,,advertency,,
393,advertise,ˈadvərˌtīz,verb,hirdet,advertize|advertize|publish|insert|divulge,közzétesz
394,advertisement,"ədˈvərtiz-,ˈadvərˌtīzmənt",noun,hirdetés,ad|advertising|publicity|publicity|commercial,reklám
395,advice,ədˈvīs,noun,tanács,council|counsel|suggestion|rede|notice|communication|message|aviso,értesítés
396,advisability,ədˌvīzəˈbilətē,,célszerűsége,,
397,advisable,ədˈvīzəbəl,adjective,tanácsos,,ajánlatos
398,advisableness,,,advisableness,,
399,advise,ədˈvīz,verb,"tanácsot ad",counsel|suggest|recommend,tanácsol
400,advised,ədˈvīzd,adjective,tanácsos,sage|wise|sapiential|sapient|sententious|considered|deliberate|conscious|guarded|earnest,bölcs|megfontolt
401,advisedly,ədˈvīzidlē,adverb,"előre megfontolva",,
402,advisement,ədˈvīzmənt,,szaktanácsadás,,
403,adviser,ədˈvīzər,noun,tanácsadó,counselor|mentor|aide|expert|fancier|connoisseur|adept|judge,szakértő
404,advisor,,,tanácsadó,,
405,advocate,,noun,ügyvéd,lawyer|attorney|solicitor|counsel|barrister|spokesman|supporter|promoter|backer|upholder|espouser,szószóló|támogató
406,advocator,,,advocator,,
407,aegis,ˈējis,noun,égisze,protection|defense|cover|shelter|vindication,védelem
408,aeon,,noun,"mérhetetlen hosszú idő",,
409,aesthetic,esˈTHetik,adjective,esztétika,esthetic|tasteful|classy|stylish|elegant|esthetic,esztétikus|ízléses
410,aesthetical,,,esztétikus,,
411,aesthetics,esˈTHetiks,noun,esztétika,esthetics,
412,afar,əˈfär,adverb,messze,"far|far away|off|far|away from|wide|asunder",távol
413,affability,ˌafəˈbilitē,noun,kedvesség,kindness|loveliness|niceness|gentleness|amenity|civility|politeness|courtesy|thoughtfulness|complaisance,előzékenység
414,affable,ˈafəbəl,adjective,barátságos,friendly|sociable|amicable|snug|neighborly|bland|suave|pleasant|pleasing|agreeable|comfortable|pleasurable,nyájas|kellemes
415,affair,əˈfe(ə)r,noun,ügy,business|case|matter|thing|shebang|relationship|ratio|commerce|connection|relationship|link|relation|association,viszony|kapcsolat|ügylet
416,affect,"əˈfekt,ˈafekt",verb,érint,"touch|concern|touch on|feel|dab",hat
417,affectation,,,kijelölés,,
418,affected,əˈfektid,adjective,érintett,artificial|sophisticated|unconstrained|factitious|prim|finical|pretty-pretty|pretended|assumed|feigned,mesterkélt|affektált|tettetett
419,affectedness,əˈfektədnəs,,érintettségét,,
420,affecting,əˈfektiNG,verb,érintő,"affect|touch|affect|concern|touch on|feel|dab",hat|érint
421,affection,əˈfekSHən,noun,szeretet,love|liking|fondness|effect|impact|influence|impression,hatás|lelkiállapot
422,affectionate,əˈfekSHənit,adjective,gyengéd,delicate|sisterly|tender-hearted,szeretetteljes
423,affectless,,,érzelemmentes,,
424,affectlessness,,,affectlessness,,
425,affianced,,adjective,jegyes,betrothed|engaged,
426,afficionado,,,afficionado,,
427,affiliate,,verb,partner,"join|join in|adjoin|link","tagul felvesz|csatlakozik|felvesz tagnak"
428,affiliated,əˈfilēˌātid,adjective,kapcsolt,recipient|receptive,befogadó
429,affiliation,əˌfilēˈāSHən,noun,hovatartozás,reception|recording|intake|enrollment|reception|enrolment,befogadás|affiliáció|felvétel
430,affinity,əˈfinitē,noun,affinitás,attraction,"vonzódás|rokoni viszony|jellembeli rokonság"
431,affirm,əˈfərm,verb,megerősítik,claim|state|submit|posit|contend|strengthen|confirm|amplify|intensify|assert|approve|ratify|sanction|assent|endorse,állít|erősít|jóváhagy
432,affirmation,ˌafərˈmāSHən,noun,megerősítés,confirmation|reinforcement|ratification|reinforcing|consolidation|statement|contention|allegation|predicate|predication|approval|endorsement|confirmation|ratification|sanction,állítás|jóváhagyás
433,affirmative,əˈfərmətiv,adjective,igenlő,positive|confirmatory|corroboratory|corroborant|predicative,megerősítő|állító
434,affix,,verb,elhelyezi,"annex|buckle|annexe|join up","csatol|hozzáerősít|ráfog vkire vmit"
435,afflict,əˈflikt,verb,kínoz,torture|torment|agonize|rack|tease,sújt|szomorít
436,afflicting,,verb,sújtó,torture|torment|agonize|afflict|rack|tease|afflict|afflict,kínoz|sújt|szomorít
437,affliction,əˈflikSHən,noun,szenvedés,misery|pain|tribulation|excruciation|disaster|strike|stroke|adversity|plague|dejection|depression|prostration|moodiness|heaviness,csapás|levertség
438,afflictive,,,afflictive,,
439,affluence,ˈaflo͞oəns,noun,bőség,abundance|plenty|width|exuberance|superabundance,
440,affluent,"əˈflo͞o-,ˈaflo͞oənt",adjective,gazdag,rich|wealthy|exuberant|moneyed|superabundant|rich|exuberant|mellow,dús
441,afford,əˈfôrd,verb,"engedheti meg magának,",stretch|render|extend|dilate|administer,"nyújt|megenged magának|győzi anyagilag"
442,affordable,əˈfôrdəbəl,,megfizethető,,
443,affright,əˈfrīt,noun,ijedtség,fright|alarm|shy|fear|awe|dread|funk|phobia,félelem
444,affrighted,,verb,megrémülve,scare|frighten|startle|terrify|daunt|aghast,megijeszt
445,affront,əˈfrənt,noun,sértés,insult|offense|abuse|wound|lesion,bántás
446,aficionado,"əˌfiSH(ē)əˈnädō,əˌfisyə-",noun,"valamilyen sport rajongója",,
447,afield,əˈfēld,adverb,mezőn,"outdoors|outside|in the open|out-of-doors",szabadban
448,afire,əˈfī(ə)r,adverb,Tűz,alight,égve|lángolva
449,aflame,əˈflām,adjective,lángoló,flaming|blazing|ablaze|flamy|flaring,
450,afloat,əˈflōt,adverb,felszínen,,"vízen úszó|úszva|levegőben úszva"
451,aflutter,,adjective,remegő,trembling|shaking|tremulous|wavering|quaking,
452,afoot,əˈfo͝ot,adverb,gyalogosan,astir,mozgásban
453,afore,əˈfôr,adverb,előbb,"before|previously|anteriorly|forward|in advance|ahead|front|forth",előre
454,aforementioned,əˈfôrˌmenSHənd,adjective,"fent említett",aforesaid|above-mentioned|above|afore-mentioned|afore-cited|afore-mentioned,"fentiekben utalt"
455,aforesaid,,adjective,"fent említett",above-mentioned|above|afore-mentioned|afore-cited,"már említett"
456,afraid,əˈfrād,adjective,félnek,,riadt|félős
457,afresh,əˈfreSH,adverb,újra,"again|anew|newly|again|from the beginning",ismét|elölről
458,aft,aft,noun,hátsó,,
459,after,ˈaftər,preposition,után,behind,azután|mögött
460,aftereffect,ˈaftəriˌfekt,noun,utóhatás,aftermath,utókövetkezmény
461,afterlife,ˈaftərˌlīf,noun,túlvilág,after-life|after-life,"élet eljövendő évei"
462,aftermath,ˈaftərˌmaTH,noun,utóhatás,aftereffect|consequence|result|effect|outcome|inference,következmény
463,afternoon,ˌaftərˈno͞on,noun,délután,,
464,afterward,ˈaftərwərd,,utána,,
465,afterwards,,adverb,később,"later|subsequently|after the lapse|subsequently|later|next",azután
466,afterword,ˈaftərˌwərd,,utószó,,
467,again,"əˈgen,əˈgān",adverb,újra,anew|newly|afresh|afresh,ismét
468,"again and again",,,"újra és újra",,
469,against,"əˈgenst,əˈgānst",preposition,ellen,versus|contra|opposite,szemben|ellenében
470,agape,"äˈgäˌpā,əˈgāp,ˈagəpī",adjective,bámuló,,
471,age,āj,noun,kor,era|period|epoch|time,életkor|korszak
472,aged,,adjective,idős,"elderly|of old|worn|shabby|threadbare|dingy|worn-out",kopott
473,agedness,,,öregség,,
474,ageing,ˈājiNG,noun,öregedés,,
475,ageless,ˈājlis,adjective,kortalan,,
476,agency,ˈājənsē,noun,ügynökség,operation|function|behavior|movement|pursuit,működés
477,agenda,əˈjendə,noun,napirend,calendar|routine|schedule|pontifical,szertartáskönyv
478,agent,ˈājənt,noun,ügynök,"broker|spy|bagman|solicitor|factor|spy|spier|intelligence agent|driving force|impulsion|propulsion",hatóanyag|kém|hajtóerő
479,age-old,,adjective,ősrégi,immemorial|world-old,
480,agglomerate,,adjective,összehordott,,
481,agglomeration,əˌgläməˈrāSHən,noun,agglomeráció,accumulation,felhalmozódás|összeragadás
482,aggrandize,əˈgranˌdīz,verb,megnagyít,,"magasabb rangra emel"
483,aggravate,ˈagrəˌvāt,verb,bosszant,annoy|vex|rile|irk|fret|exasperate|exacerbate|acerbate,súlyosbít|elmérgesít
484,aggravated,ˈagrəˌvātid,verb,súlyosbít,annoy|vex|aggravate|rile|irk|fret|exasperate|exacerbate|aggravate|acerbate|aggravate,bosszant|elmérgesít
485,aggravating,,adjective,súlyosbító,annoying|vexing|galling|vexatious|exasperating,bosszantó
486,aggravation,ˌagrəˈvāSHən,noun,súlyosbodás,exasperation,súlyosbítás|felbosszantás
487,aggregate,,adjective,adalékanyag,all|total|group,összes|csoportos
488,aggression,əˈgreSHən,noun,agresszió,attack|offensive|assault|raid|onslaught|aggressiveness,támadás|erőszakosság
489,aggressive,əˈgresiv,adjective,agresszív,assailant|offensive|attacking|invasive|energetic|forceful|peppy|up-and-coming|red-blooded,támadó|energikus
490,aggressiveness,,noun,erőszakosság,aggression,
491,aggressor,əˈgresər,noun,agresszor,assaulter|assailant|attacker|raider|invader|assaulter,támadó
492,aggrieved,əˈgrēvd,verb,sértett,annoy|vex|aggravate|rile|irk|fret|aggrieve,"bosszant|jogaiban sért"
493,aghast,əˈgast,adjective,megdöbbent,thunderstruck|scared|panic-stricken,megrémült
494,agile,ˈajəl,adjective,agilis,nimble|brisk|quick|deft|spry|fast|quick|rapid|swift|prompt,fürge|gyors
495,agility,,noun,agilitás,speed|rapidity|promptness|fastness|quickness,gyorsaság
496,aging,ˈājiNG,noun,öregedés,ageing,
497,agita,,,turmixok,,
498,agitate,ˈajiˌtāt,verb,megmozgat,,"agitál|nyugtalanságot szít"
499,agitated,ˈajiˌtātid,adjective,izgatott,,felzavart
500,agitating,,verb,rázás,agitate|agitate|agitate,"agitál|megmozgat|nyugtalanságot szít"
501,agitation,ˌajiˈtāSHən,noun,agitáció,move|movement|motion|locomotion|stir,mozgás
502,agitator,ˈajiˌtātər,noun,agitátor,,lázító
503,aglow,əˈglō,adjective,sugárzó,radiant|irradiant|flaming|blazing|ablaze|flamy|flaring,lángoló
504,ago,əˈgō,adverb,ezelőtt,,előtt
505,agog,əˈgäg,adjective,izgatott,excited|hectic|jumpy|ablaze|flurried|longing|wistful|wishful|thirsty,vágyakozó
506,agonistic,ˌagəˈnistik,adjective,agonista,excessive|exaggerated|exorbitant|hyperbolic|exaggerative,atlétai|túlzó
507,agonize,ˈagəˌnīz,verb,kínoz,torture|torment|afflict|rack|tease|writhe,gyötrődik
508,agonized,ˈagəˌnīzd,verb,kétségbeesett,torture|torment|agonize|afflict|rack|tease|agonize|writhe,kínoz|gyötrődik
509,agonizing,ˈagəˌnīziNG,adjective,kínzó,excruciating|obsessive|racking|tearing|excessive,agonizáló
510,agonizingly,,,gyötrelmesen,,
511,agony,ˈagənē,noun,gyötrelem,"tribulation|pang|dying|death struggle|death agony",gyötrődés|haláltusa
512,agrarian,əˈgre(ə)rēən,adjective,mezőgazdasági,agricultural|agronomic|agronomical,
513,agree,əˈgrē,verb,egyetért,"go along with|say the word|concur|consent|acquiesce|clinch|concur|come to an agreement|compound|comport",beleegyezik|megegyezik
514,"agree on",,,megállapodni,,
515,"agree with",,,Egyetértek,,
516,agreeability,,,Együttműködőkészség,,
517,agreeable,əˈgrēəbəl,adjective,kellemes,pleasant|pleasing|comfortable|pleasurable|enjoyable,
518,agreeableness,,,barátságosság,,
519,agreeably,,adverb,kellemesen,pleasantly|well|gratefully,
520,agreement,əˈgrēmənt,noun,megegyezés,understanding|treaty|pact|compact|covenant|contract|treaty|pact|charter|indent|treaty|pact|protocol|contract|arrangement|consensus|consistency|coincidence|congruence|concord|concert|harmony|rapport|accord|settlement|deal,megállapodás|szerződés|egyezmény|egyetértés|egyezség
521,agricultural,ˌagriˈkəlCHərəl,adjective,mezőgazdasági,agrarian|agronomic|agronomical,
522,agriculturalist,,,növénynemesítő,,
523,agriculture,ˈagriˌkəlCHər,noun,mezőgazdaság,husbandry,
524,agriculturist,,noun,agronómus,agronomist,
525,agronomist,,noun,agronómus,agriculturist,
526,aground,əˈground,adverb,zátonyon,,"megfenekletten|partra futva"
527,ahead,əˈhed,adverb,előre,"forward|in advance|front|forth|fore|in front|frontwards",elöl
528,"ahead of",,,előtt,,
529,aid,ād,noun,támogatás,"support|assistance|promotion|subsidization|help|benefit|support|subsidy|redress|cost-of-living allowance|help|assistance|support|relief|succor",segély|segítség|segédeszköz
530,aide,ād,noun,segédtiszt,"counselor|adviser|mentor|adjutant|aide-de-camp|military assistant|personnel adjutant",tanácsadó
531,ail,āl,verb,gyengélkedik,"grieve|offend|maltreat|be on the sick list",bánt|betegeskedik
532,ailing,ˈāliNG,adjective,gyengélkedő,indisposed|valetudinarian|valetudinary,betegeskedő
533,ailment,ˈālmənt,noun,betegség,disease|sickness|illness|malady|ail|malaise|indisposition|valetudinarianism,gyengélkedés
534,aim,ām,noun,cél,goal|target|destination|purpose|object|hint|allusion|aiming|cue|inkling,célzás
535,aimless,ˈāmlis,adjective,céltalan,purposeless|meaningless|objectless|otiose,
536,aimlessly,,,céltalanul,,
537,air,e(ə)r,noun,levegő,,
538,airdrome,ˈe(ə)rˌdrōm,noun,repülőtér,airport|aerodrome|airfield|drome,
539,airfield,ˈe(ə)rˌfēld,noun,repülőtér,airport|aerodrome|drome|airdrome,
540,airhead,ˈe(ə)rˌhed,noun,"légi hídfő",,
541,airheaded,,,airheaded,,
542,airily,ˈe(ə)rəlē,adverb,felszabadultan,,
543,airman,ˈe(ə)rmən,noun,pilóta,"pilot|aviator|flying man|aircraftman|Airedale|private first class|private|lance-corporal|junior technician|leading aircraftman|plane|airplane|flier|flyer|aircraftman","őrvezető|repülő|légierő altisztje"
544,airplane,ˈe(ə)rˌplān,noun,repülőgép,aircraft|plane|aerocarrier|aeroplane|plane|flier|flyer|airman|aircraftman|aircraft|aeroplane,"repülő|légi jármű"
545,airport,ˈe(ə)rˌpôrt,noun,repülőtér,aerodrome|airfield|drome|airdrome,
546,airy,ˈe(ə)rē,adjective,levegős,graceful|facile|jaunty|tripping|lightsome,könnyed
547,akin,əˈkin,adjective,hasonló,similar|like|comparable|such|analogous|kin|kindred|affined|agnate,rokon|vérrokon
548,alacritous,,,alacritous,,
549,alacrity,əˈlakritē,noun,vidámság,cheerfulness|gaiety|glee|frolic|hilarity|nimbleness|swiftness|deftness,fürgeség
550,alarm,əˈlärm,noun,riasztás,"alert to|alert|alert to|fright|shy|affright|tocsin","riadó|ijedtség|vészcsengő|riadóztat|riadót rendel el"
551,alarmed,,verb,riasztónak,"alarm|alert|sound an alarm|scare|horrify|terrify|dismay|appall|alarm",riaszt|megrémít
552,alarming,əˈlärmiNG,verb,riasztó,"alarm|alert|sound an alarm|scare|horrify|terrify|dismay|appall|alarm",riaszt|megrémít
553,alarum,,,fesztávolságú,,
554,"alarums and excursions",,,"riasztások és kirándulások",,
555,albeit,"al-,ôlˈbē-it",conjunction,habár,although|though|whereas,
556,album,ˈalbəm,noun,album,"scrap book",emlékkönyv
557,alchemize,,,alkímiailag,,
558,alcohol,"-ˌhäl,ˈalkəˌhôl",noun,alkohol,,
559,alcoholic,"-ˈhäl-,ˌalkəˈhôlik",adjective,"alkohol függő",,alkoholos
560,alcoholism,"-hä-,ˈalkəhôˌlizəm",noun,alkoholizmus,,
561,alcove,ˈalˌkōv,noun,alkóv,cubicle,hálófülke
562,alert,əˈlərt,adjective,éber,vigilant|awake|watchful|wakeful|unsleeping|careful|cautious|conservative|wary|prudent,óvatos
563,alertness,əˈlərtnis,noun,éberség,wakefulness|vigilance|watchfulness|standby|readiness|preparedness|alert,elővigyázatosság|készenlét
564,alfresco,,adverb,"szabad levegőn",,
565,algid,,adjective,hideg,cold|chill|chilled|icy,
566,alias,ˈālēəs,noun,álnév,"incognito|pseudonym|pen name|nom de plume",
567,alibi,ˈaləˌbī,noun,alibi,excuse|objection|plea|exception|censure,kifogás
568,alien,"ˈālyən,ˈālēən",adjective,idegen,foreign|strange|extraneous|foreign|overseas|oversea|peregrine,külföldi
569,alienate,"ˈālyə-,ˈālēəˌnāt",verb,elidegenít,estrange,
570,alienation,"ˌālyə-,ˌālēəˈnāSHən",noun,elidegenítés,estrangement,
571,alight,əˈlīt,verb,kiszáll,"get off|land|descend|down|land|get off|fly down",leszáll
572,alike,əˈlīk,adjective,hasonló,"similar|like|comparable|such|analogous|all the same|uniform|much of a muchness|like|same kind",egyforma|ugyanolyan
573,alikeness,aalikeness,,Alikeness,,
574,aliment,,,élelmiszer,,
575,a-list,,,"egy listát",,
576,alive,əˈlīv,adjective,élő,"live|living|animate|breathing|living|lively|vivid|animated|live|lively|vivid|vigorous|brisk|animated|full of life|animate","eleven|élénk|élettel teli"
577,all,ôl,adjective,minden,total|aggregate|every|each|whole|entire|complete|integrate|livelong,összes|egész
578,"all around",,adjective,mindenfelé,,
579,"all but",,adverb,"mind de","almost|nearly|near|nigh|within an inch|almost|nearly",majdnem|csaknem
580,"all in",,adjective,"mindent bele",exhausted|spent|weary|done|overwrought,kimerült
581,"all of",,,"az összes",,
582,"all out",,adverb,"minden ki",amain,"teljes erővel"
583,"all over",,,mindenhol,,
584,"all right",,,rendben,,
585,"all told",,,"mindent elmondtak",,
586,allah,,,Isten,,
587,all-around,,adjective,mindenfelé,"all around",
588,allay,əˈlā,verb,enyhít,relieve|alleviate|soothe|ease|mitigate|pacify|quieten|becalm|hush|lull,lecsendesít
589,allege,,,"azt állítja,",,
590,allegiance,əˈlējəns,noun,hűség,loyalty|fidelity|adherence|troth,
591,allegory,ˈaləˌgôrē,noun,allegória,parable|exemplification|symbol|emblem|badge,példázat|jelkép
592,all-embracing,,adjective,"mindent átfogó",,
593,allergic,əˈlərjik,adjective,allergiás,,
594,allergy,ˈalərjē,noun,allergia,,
595,alleviate,əˈlēvēˌāt,verb,enyhít,relieve|soothe|ease|mitigate|extenuate|decrease|reduce|diminish|lower|cut,csökkent
596,alleviation,,noun,enyhítés,mitigation|easement|palliation,
597,alliance,əˈlīəns,noun,szövetség,covenant|guild|association|league|society,
598,allied,"əˈlīd,ˈalˌīd",adjective,szövetséges,federal|federate|confederate|federal|federative|combined|joint|corporate|united|integrated,szövetségi|egyesített
599,all-important,,adjective,"mindennél fontosabb",vital|fateful,"életbe vágó"
600,all-inclusive,,,"minden költséget magába foglaló",,
601,allocate,ˈaləˌkāt,verb,osztja,"impart|apportion|issue|deal out|hand out|give out|allot|dispense|put off|set aside|set by|set apart|put aside|transfer|locate","juttat|kiutal|kioszt|félretesz|helyet juttat|átutal|helyet megállapít"
