ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
39078,"cut it out",,verb,"vágd ki",,"elég már"
39079,"cut loose",,,"eltávolodni, elhagyni",,
39080,"cut of one's jib",,,kivágták,,
39081,"cut off",,verb,levág,"switch off|shut off|relax|incapacitate|unclasp|cut down|slaughter|truncate|exscind|amputate|turn off|mew|occlude|close|shut off|break off|interrupt|abort|intermit|intersect|stop|halt|shut off|abort",kikapcsol|elzár|megszakít|leállít
39082,"cut off one's head",,,"vágja le a fejét",,
39083,"cut off short",,,"rövidre vágott",,
39084,"cut off two",,,"vágja le kettőt",,
39085,"cut out",,verb,kivág,"excise|fell|slot|hew down|saw out|bolt",eliszkol
39086,"cut out for",,,kivágták,,
39087,"cut price",,verb,"árat csökkent",,
39088,"cut rate",,noun,"potom ár",,
39089,"cut short",,verb,lerövidít,"cut down|short cut|detruncate","rövidre vág"
39090,"cut some ice",,,"vágj egy kis jeget",,
39091,"cut through",,,átvágta,,
39092,"cut to bits",,,"bitre vágva",,
39093,"cut to the quick",,,"vágja a gyors",,
39094,"cut up",,verb,felvágni,"cut open|splurge|slice|trip up|saw up|embitter|make miserable|acerbate",felvág|elkeserít
39095,"cut version",,,"vágott változat",,
39096,cutaneous,kyo͞oˈtānēəs,adjective,bőr-,dermal|dermic|coriaceous,
39097,cutaway,ˈkətəˌwā,noun,kivágott,cut-out,
39098,cutback,ˈkətˌbak,noun,leépítés,cut-back,visszametszés
39099,"Cute Boy",,,"Aranyos fiú",,
39100,"Cute Guy",,,"Helyes pasi",,
39101,cutely,,,cutely,,
39102,cutesy,ˈkyo͞otsē,,cutesy,,
39103,cuticle,ˈkyo͞otikəl,,kutikula,,
39104,"cutie pie",,,"édes pofa",,
39105,cutiepie,,,cutiepie,,
39106,cutie-pie,,,"édes pofa",,
39107,cutis,ˈkyo͞otəs,,cutis,,
39108,cutlas,ˈkətləs,noun,"rövid kard",cutlass,
39109,cutlass,ˈkətləs,noun,"rövid kard",,
39110,cutlery,ˈkətlərē,noun,evőeszköz,,késesáruk
39111,cutlets,ˈkətlət,noun,szelet,cutlet|cutlet|croquette|cutlet,kotlett|bordaszelet|krokett
39112,cut-off,,adjective,levág,hewn|interrupted|missed|intermittent|discontinued|snatchy,levágott|megszakított
39113,"cutoff point",,,"levágási pont",,
39114,cut-price,,adjective,cut-ára,,"csökkentett ár"
39115,cutpurse,ˈkətpərs,,cutpurse,,
39116,"cut-rate sale",,,"csökkentett árú eladás",,
39117,cuts,,verb,vágások,"cut|hew|chop|section|hack|chip|cut|cut away|decrease|reduce|diminish|lower|cut|mitigate|mow|trim|cut",vág|elvág|csökkent|lenyír
39118,"cutter blade",,,"vágó penge",,
39119,cutters,,noun,vágó,cutter|cutter,"szabász|vágó szerkezet"
39120,"cutting edge",,,élvonalbeli,,
39121,"cutting in two",,,"kettős vágás",,
39122,"cutting machine",,,"vágó gép",,
39123,"cutting remark",,,"vágási megjegyzés",,
39124,"cutting tool",,,vágóeszköz,,
39125,"cutting up",,verb,felvágni,"cut open|cut up|splurge|slice|trip up|saw up|embitter|cut up|make miserable|acerbate",felvág|elkeserít
39126,cuttingly,,,metszően,,
39127,cuttings,,noun,kivágások,,
39128,cuttlefish,ˈkətlˌfiSH,noun,tintahal,squid|calamary|polyp|cuttle,
39129,cutup,,noun,felvágni,cut-up,"gyilkos kritika"
39130,cut-up,,noun,felvágni,,"gyilkos kritika"
39131,cuz,,,mer,,
39132,CV,,abbreviation,önéletrajz,,
39133,cwm,,,völgy,,
39134,cwt,,,cwt,,
39135,cya,,,hyiiine,,
39136,cyan,"ˈsīən,ˈsīˌan",,cián,,
39137,cyanide,ˈsīəˌnīd,noun,cianid,,
39138,cyanosis,ˌsīəˈnōsəs,noun,elkékülés,,
39139,"cyanotype copy",,,cianotípus-másolat,,
39140,cybernated,,adjective,hibernált,,
39141,cybernation,,noun,hibernálás,hibernation,
39142,cybernetics,ˌsībərˈnetiks,noun,kibernetika,,
39143,cyberphiles,,,cyberphiles,,
39144,cyberspace,ˈsībərˌspās,,kibertér,,
39145,cyber-terrorist,,,cyber-terrorizmus,,
39146,cyborg,ˈsīˌbôrg,,cyborg,,
39147,"cycle of indiction",,,"jelzés ciklusa",,
39148,"cycle per second",,,"ciklus / másodperc",,
39149,cycled,ˈsīkəl,verb,szakad,"cycle|bicycle|ride a bike",biciklizik
39150,cycler,,noun,kerékpáros,cyclist|bicyclist,
39151,cyclic,"ˈsik-,ˈsīklik",adjective,ciklikus,concentric|all-round,körkörös
39152,cyclical,"ˈsik-,ˈsīklik(ə)l",,ciklikus,,
39153,cyclically,,,ciklikusan,,
39154,cycling,ˈsīk(ə)liNG,noun,kerékpározás,,
39155,cyclist,ˈsīk(ə)list,noun,kerékpáros,bicyclist|cycler,
39156,cycloid,ˈsīˌkloid,noun,ciklois,,
39157,cycloidal,,,cycloidal,,
39158,cyclonal,,,ciklon-,,
39159,cyclone,ˈsīˌklōn,noun,ciklon,,összeáramlás
39160,cyclonical,,,cyclonical,,
39161,cyclopedia,ˌsīkləˈpēdēə,,lexikon,,
39162,cyclops,,noun,Küklopsz,Cyclops,
39163,cyclorama,"-ˈrämə,ˌsīkləˈramə",,körkép,,
39164,cygnet,ˈsignət,noun,"fiatal hattyú",,
39165,cylinder,ˈsiləndər,noun,henger,"roller|barrel|silk hat|top-hat|chimney pot hat|gibus",cilinder
39166,cylindric,,,hengeres,,
39167,cylindrical,,adjective,hengeres,,"henger alakú"
39168,cylindricity,,,hengeresség,,
39169,cymbal,ˈsimbəl,noun,cintányér,,
39170,cymophanous,,,cymophanous,,
39171,cynically,,,cinikusan,,
39172,cynicism,ˈsinəˌsizəm,noun,cinizmus,,
39173,cypher,,verb,rejtjelez,cipher|code|encode|encipher,
39174,cyphering,,verb,cyphering,cipher|code|encode|encipher|cypher,rejtjelez
39175,cypress,ˈsīprəs,noun,ciprus,,ciprusfa
39176,cyprian,,adjective,ciprusi,Cyprian|Cypriote,
39177,cyst,sist,noun,hólyag,bladder|blister|bubble|goof,
39178,cytology,sīˈtäləjē,noun,citológia,,
39179,czarevna,,,czarevna,,
39180,czarina,,noun,cárnő,tsarina,
39181,czaristic,,,czaristic,,
39182,czars,,noun,cárok,tsar|czar|tzar|czarevitch,cár
39183,d??class??,,,"d ?? osztály ??",,
39184,"d??j?� vu",,,"már látható",,
39185,da,,,a,,
39186,"da capo",,,"a kezdetektől fogva",,
39187,"dab hand",,,"dagasztott kéz",,
39188,dabbed,dab,verb,megtörölgette,"dab|wave|spat|putty|dabble|daub|salve|coat|dab|touch|affect|concern|touch on|feel|dab",legyint|beken|érint
39189,dabbing,dab,verb,dabbing,"dab|wave|spat|putty|dabble|daub|salve|coat|dab|touch|affect|concern|touch on|feel|dab",legyint|beken|érint
39190,dabble,ˈdabəl,verb,megnedvesít,moisten|dampen|damp|dew|putty|daub|salve|coat|dab,beken
39191,dabbled,ˈdabəl,verb,belekóstolt,dabble|moisten|dampen|damp|dew|putty|dabble|daub|salve|coat|dab,megnedvesít|beken
39192,dabbling,,verb,dabbling,dabble|moisten|dampen|damp|dew|putty|dabble|daub|salve|coat|dab,megnedvesít|beken
39193,"dabbling duck","ˈdab(ə)liNG ˌdək",,kacsa,,
39194,dabby,Ḍabby,,Dabby,,
39195,dabchick,ˈdabˌCHik,,dabchick,,
39196,dacha,dacha,,dácsa,,
39197,dachshund,"ˈdäksənd,ˈdäksˌho͝ont",noun,tacskó,cub,
39198,dacoit,dəˈkoit,,dacoit,,
39199,dacron,,,dacron,,
39200,dactyl,ˈdaktl,noun,daktilus,,
39201,dactylic,dakˈtilik,adjective,daktilus,,
39202,dactylogram,,noun,ujjlenyomat,fingerprint,
39203,dactylology,,,dactylology,,
39204,dada,,,mellkas,,
39205,dadaist,,,dadaista,,
39206,dadda,,,Apu,,
39207,"daddy longlegs",,noun,"apa hosszú lábak",crane-fly|daddy-long-legs|daddy-long-legs,lószúnyog|kaszáspók
39208,"Daddy Warbucks",,,"Daddy Warbucks",,
39209,dado,,,adott,,
39210,"dad's love",,,"apa szeretete",,
39211,Daedalean,,,Daedalean,,
39212,Daedalian,,adjective,ügyes,clever|skillful|skilful|deft|good,
39213,Daedalic,,,Daedalic,,
39214,Daedalus,ˈdedl-əs,,Daedalus,,
39215,daemonic,,adjective,démoni,demonic|devil|diabolical|devilish|diabolic|demonic,ördögi
39216,daffodil,ˈdafəˌdil,noun,nárcisz,"narcissus|lent lily","sárga nárcisz"
39217,dagger,ˈdagər,noun,tőr,snare|knife|poniard|dirk|trap,
39218,daggle,,verb,"sárba vonszol",,
39219,daguerreotype,dəˈge(ə)rəˌtīp,noun,dagerrotip,,
39220,Dagwood,,,Dagwood,,
39221,dahabeah,dhahabih,,aranysárga,,
39222,dahlia,"ˈdalyə,ˈdäl-",noun,dália,,
39223,dailies,,noun,napi-,daily,mindennap
39224,"daily and hourly",,,"naponta és óránként",,
39225,"daily bread",,,"napi kenyér",,
39226,"daily dozen",,,"napi tucat",,
39227,"daily grind",,,"napi őrlés",,
39228,"daily paper",,,"napi papír",,
39229,"daily woman",,,"napi nő",,
39230,daimio,daimío,,daimio,,
39231,daimon,,,Daimon,,
39232,daimyo,ˈdīmyō,,daimjó,,
39233,daintily,,,kényesen,,
39234,dairy,ˈde(ə)rē,noun,tejcsarnok,creamery,tejüzem
39235,"dairy farm",,,tejüzem,,
39236,"dairy farmer",,,tejtermelő,,
39237,dairying,ˈde(ə)rē-iNG,noun,tejgazdálkodás,,
39238,dairyman,"-ˌman,ˈde(ə)rēmən",,dairyman,,
39239,daisies,,noun,margaréták,"daisy|golden daisy",százszorszép
39240,"daisy cutter",,noun,"százszorszép vágó",daisy-cutter,"bomba ütés"
39241,"dak bungalow",,,"tető bungaló",,
39242,dallied,,verb,habozott,dally|banter|dally,enyeleg|dévajkodik
39243,dalmatic,dalˈmatik,noun,dalmatika,,
39244,"dam up",,,gát,,
39245,damaged,,verb,sérült,damage|mutilate|dilapidate|damage|damage,megrongál|rongál|megkárosít
39246,damager,,,károsító,,
39247,damages,,noun,kártérítés,compensation|indemnity|recovery,kárösszeg
39248,"damaging oneself",,,"károsítja magát",,
39249,"damaging to",,,káros,,
39250,damascene,,,Damaszkuszi,,
39251,damascened,"ˈdaməˌsēnd,ˌdaməˈsēnd",,damascened,,
39252,damask,ˈdaməsk,adjective,damaszt,,
39253,"damask rose oil",,,"damaszt rózsaolaj",,
39254,dames,,,hölgyek,,
39255,dammed,,verb,duzzasztott,"turn off|mew|occlude|close|shut off|debar|dam",elzár|körülgátol
39256,damming,,verb,duzzasztás,"turn off|mew|occlude|close|shut off|debar|dam",elzár|körülgátol
39257,dammit,ˈdamit,,"verje meg",,
39258,damnability,,,damnability,,
39259,damnably,,adverb,"kárhozatos módon",,
39260,damnation,damˈnāSHən,noun,kárhozat,perdition|tarnation|condemnation|reprobation,kárhoztatás
39261,damnatory,ˈdamnəˌtôrē,adjective,elkárhoztató,,
39262,damningly,,,damningly,,
39263,damoiselle,,,leányka,,
39264,damosel,,,Damosel,,
39265,damozel,,,damozel,,
39266,"damp squib",,,"nedves squib",,
39267,damped,,verb,csillapodó,dabble|moisten|dampen|damp|dew|smother|suppress|damp|repress|quench|extinguish|damp,megnedvesít|elfojt|lankad
39268,"dampen the spirits",,,"nedvesítse meg a szellemeket",,
39269,dampened,,verb,csillapított,"dabble|moisten|dampen|damp|dew|break down|dampen",megnedvesít|letör
39270,dampener,,,csillapító,,
39271,dampening,,verb,nedvesítő,"dabble|moisten|dampen|damp|dew|break down|dampen",megnedvesít|letör
39272,damping,ˈdampiNG,noun,csillapító,moistening,benedvesítés
39273,dampproof,,adjective,dampproof,damp-proof,nedvességálló
39274,damps,damp,noun,Damps,dampness|moisture|damp|humidity|clamminess|moist|vapor|steam|fog|damp|vapour,nyirkosság|pára
39275,damselfish,ˈdamzəlˌfiSH,,damselfish,,
39276,damselfly,ˈdamzəlˌflī,,damselfly,,
39277,damson,"-sən,ˈdamzən",,szilva,,
39278,"Danaus plexippus",,,"Danaus plexippus",,
39279,"dance attendance",,,"táncos látogatás",,
39280,"dance attendance on",,,"táncos részvétel",,
39281,"dance floor",,,táncparkett,,
39282,"dance hall",,,táncterem,,
39283,"dance workout",,,"tánc edzés",,
39284,dancer,ˈdansər,adjective,táncos,,
39285,dancery,,,dancery,,
39286,dancing,,noun,tánc,dance|saltation|prancing,táncolás
39287,"dancing juice",,,tánclé,,
39288,dancingly,,,dancingly,,
39289,dandelion,ˈdandlˌīən,noun,pitypang,"taraxacum|blow ball",gyermekláncfű
39290,"dandelion green",,,"pitypang zöld",,
39291,dander,ˈdandər,noun,harag,anger|wrath|rage|fury|ire,
39292,dandified,ˈdandiˌfīd,adjective,"dandi módra",,
39293,dandify,,verb,kicicomáz,titivate,
39294,dandifying,,verb,dandifying,dandify|titivate,kicicomáz
39295,dandily,,,dandily,,
39296,"dandle board",,,"dandle fórumon",,
39297,dandruff,ˈdandrəf,noun,korpa,bran|furfur,
39298,dandyism,,noun,dendiség,,
39299,"danger criticalness",,,"veszély kritikus",,
39300,"danger sign",,,"veszély jel",,
39301,"danger signal",,noun,vészjelzés,coast-warning,
39302,"dangerous dog",,,"veszélyes kutya",,
39303,"dangerous ground",,,"veszélyes föld",,
39304,"dangerous woman",,,"veszélyes nő",,
39305,dangerously,,,veszélyesen,,
39306,dangerousness,,,veszélyesség,,
39307,dangled,ˈdaNGgəl,verb,lógott,"dangle|dangle|hang out",fityeg|lóg
39308,dangler,,,dangler,,
39309,dangles,,noun,fülönfüggők,,
39310,dangly,,,dangly,,
39311,dankness,,,dankness,,
39312,dap,,,"csalétket vízre ereszt",,
39313,dapperly,,,dapperly,,
39314,dapperness,,,dapperness,,
39315,dapple-gray,,adjective,almásszürke,dapple-grey,
39316,dapple-grayness,,,pettyez-szürkeség,,
39317,darb,darab,,megüt,,
39318,darbies,,,elkezdeni,,
39319,dared,,verb,mertek,dare|dare,merészel|bátorkodik
39320,daredevilry,,,daredevilry,,
39321,daredeviltry,,,daredeviltry,,
39322,darer,Dārēra,,Dar,,
39323,"daring deed",,,"merész cselekedet",,
39324,daringly,,,merészen,,
39325,"dark and light",,,"sötét és világos",,
39326,"dark as night",,,"sötét éjszaka",,
39327,"dark as pitch",,,"sötét a pályán",,
39328,"dark blue",,,sötétkék,,
39329,"dark cloud",,,"sötét felhő",,
39330,"dark glasses",,,"sötét szemüveg",,
39331,"dark grey",,,sötétszürke,,
39332,"dark hours",,,"sötét óra",,
39333,"dark shade",,,"sötét árnyalat",,
39334,"dark yellow",,,"sötét sárga",,
39335,dark-complexioned,,,"sötét bőrű",,
39336,darked,,,darked,,
39337,darkener,,,darkener,,
39338,darker,,,sötétebb,,
39339,darkest,,,legsötétebb,,
39340,dark-green,,,sötétzöld,,
39341,dark-haired,,adjective,"sötét hajú",,
39342,dark-hued,,,sötét-színű,,
39343,darkle,,,sötét,,
39344,darkly,ˈdärklē,adverb,sötéten,,
39345,dark-skinned,,,sötétbőrű,,
39346,darlingly,,,darlingly,,
39347,darnel,ˈdärnl,noun,konkolyperje,,
39348,darner,ˈdärnər,noun,stoppoló,,
39349,darning,ˈdärniNG,noun,stoppolás,darn,
39350,dartboard,ˈdärtˌbôrd,,céltábla,,
39351,darted,,verb,ugrott,throw|dart|fling|cast|toss|launch|dart|leap,hajít|szökken
39352,dartedly,,,dartedly,,
39353,darter,ˈdärtər,noun,"amerikai édesvízi halfajta",,
39354,darting,,verb,szökkent,throw|dart|fling|cast|toss|launch|dart|leap,hajít|szökken
39355,dartingly,,,dartingly,,
39356,"dash hopes",,,"dash reméli",,
39357,"dash off",,,megszakad,,
39358,"dash out",,,kirohan,,
39359,dashboard,ˈdaSHˌbôrd,noun,Irányítópult,"instrument panel|instrument panel",műszerfal|műszertábla
39360,dashed,daSHt,verb,szaggatott,dash|smash|shatter|knap|dash|beat|distract|disorient|bedazzle|disorientate|unsettle|embarrass|gallop|dash,"nekilódít vminek|összetör|megzavar|vágtázik"
39361,dasher,ˈdaSHər,noun,"rámenős ember",,
39362,dashes,daSH,noun,gondolatjel,dash|gallop|dash|sprint|crack|crash|bang|dash|snap|tang|confrontation|clash|conflict|bump|collision|dash,vágta|csattanás|összeütközés
39363,"dastardly person",,,gazember,,
39364,dastardness,,,dastardness,,
39365,dastards,ˈdastərd,noun,dastards,dastard,"hitvány féreg"
39366,dastardy,,,dastardy,,
39367,"data base","ˈdatəˌbās,ˈdā-",,adatbázis,,
39368,"data decompression",,,"adat dekompresszió",,
39369,"data format",,,adatformátum,,
39370,"data formatting",,,adatformázás,,
39371,"data link",,noun,"adat link",,"adatkapcsolat|adatlánc|adattovábbító vonal"
39372,"data point",,,adatpont,,
39373,data-based,,,adatalapú,,
39374,"date back",,,vissza,,
39375,"date line",,noun,"dátumválasztó vonal",,
39376,"date of death",,,"Halál dátuma",,
39377,"date of reference",,,"a referencia dátuma",,
39378,"date of youth",,,"ifjúsági dátum",,
39379,"date rape",,,"nemi erőszak",,
39380,"date slip",,,"dátum csúszás",,
39381,datebook,ˈdātˌbo͝ok,,datebook,,
39382,dateline,ˈdātˌlīn,,Dateline,,
39383,datemark,,,dátumjelzés,,
39384,dater,,,dátum,,
39385,date-stamp,,,"dátum bélyegző",,
39386,"dating forward",,,előre,,
39387,datings,,,datings,,
39388,"datum line",,noun,alapvonal,"base|base line",
39389,daubed,dôb,verb,daubed,daub|bedaub|putty|dabble|daub|salve|coat|dab,bemázol|beken
39390,dauber,ˈdôbər,noun,"kontár festő",daubster,
39391,daubes,dōb,,daubes,,
39392,daubing,,verb,daubing,daub|bedaub|putty|dabble|daub|salve|coat|dab,bemázol|beken
39393,daubs,dôb,noun,daubs,daub|daub,mázolás|kence
39394,daughter,"ˈdä-,ˈdôtər",noun,lánya,,"lánya vkinek"
39395,"daughter of joy",,,"öröm lánya",,
39396,"daughter of king",,,"király lánya",,
39397,"daughter of monarch",,,"uralkodó lánya",,
39398,"daughter of queen",,,"királyné lánya",,
39399,"daughters of Eve",,,"Éva leányai",,
39400,daunted,,verb,csüggedt,bulldoze|intimidate|outface|overawe|daunt|hector|scare|frighten|startle|terrify|daunt|aghast|dishearten|dispirit|daunt|deject,megfélemlít|megijeszt|elcsüggeszt
39401,daunter,,,daunter,,
39402,daunting,"ˈdänt-,ˈdôntiNG",verb,ijesztő,bulldoze|intimidate|outface|overawe|daunt|hector|scare|frighten|startle|terrify|daunt|aghast|dishearten|dispirit|daunt|deject,megfélemlít|megijeszt|elcsüggeszt
39403,daunts,"dänt,dônt",verb,daunts,bulldoze|intimidate|outface|overawe|daunt|hector|scare|frighten|startle|terrify|daunt|aghast|dishearten|dispirit|daunt|deject,megfélemlít|megijeszt|elcsüggeszt
39404,davit,"ˈdavit,ˈdā-",noun,csónakdaru,,
39405,"Davy Jones's locker","ˌdāvē ˌjōnz(əz) ˈläkər",,"Davy Jones szekrénye",,
39406,dawdled,ˈdôdl,verb,dawdled,"dawdle|hang about|hang around|lounge about|straggle|hover|dawdle","cselleng|időt veszteget"
39407,"dawn on",,,hajnalban,,
39408,"dawn upon",,,hajnalban,,
39409,"dawn upon one",,,"hajnal után",,
39410,dawnlight,,,dawnlight,,
39411,"day after day",,,"nap nap után",,
39412,"day and night",,,éjjel-nappal,,
39413,"day bed",,,"nappali ágy",,
39414,"day before",,adverb,"előző nap",,
39415,"day by day",,,"napról napra",,
39416,"day care",,noun,"nappali ellátás","kindergarten|nursery|nursery school|daycare|infant school|infants' school",óvoda
39417,"day care center",,noun,"nappali központ","daycare center","napközi otthon"
39418,"day care provider",,,"napközi ellátó",,
39419,"day certain",,,"bizonyos nap",,
39420,"day dreamer",,noun,"nap álmodozó",dreamer|daydreamer|Quixote,álmodozó
39421,"day in the sun",,,"nap a napban",,
39422,"day laborer",,noun,napszámos,"dayman|farm hand|day-taler|coolie|journeyman",
39423,"day nursery",,noun,bölcsőde,nursery|creche,
39424,"day of reckoning",,,"a számítás napja",,
39425,"day of rest",,,pihenőnap,,
39426,"day off",,noun,szabadnap,"free day",
39427,"day one",,,"első nap",,
39428,"day prior",,,"nappal korábban",,
39429,"day time",,noun,"nappali idő",daytime,nappal
39430,"day vision",,,"napos látás",,
39431,day-after-day,,,"nap nap után",,
39432,day-and-night,,,éjjel-nappal,,
39433,daybed,ˈdāˌbed,,daybed,,
39434,day-bed,,,day-bed,,
39435,day-by-day,,,"napról napra",,
39436,daycare,,noun,óvoda,"kindergarten|nursery|nursery school|infant school|infants' school",
39437,"day-care center",,noun,"napközi otthon","daycare center",
39438,"day-care provider",,,"nappali gondozó",,
39439,day-dream,,verb,álmodozik,daydream,
39440,daydreamed,,verb,álmodozott,daydream,álmodozik
39441,daydreamer,,noun,álmodozó,dreamer|Quixote,
39442,day-dreamer,,noun,álmodozó,dreamer|daydreamer|Quixote,
39443,day-dreaming,,,álmodozás,,
39444,daydreamy,,,daydreamy,,
39445,"daylight hours",,noun,"nappali órák",,"a nappali világosság órái"
39446,"daylight time",,,"nappali idő",,
39447,daypack,ˈdāˌpak,,daypack,,
39448,days,,,napok,,
39449,"days gone by",,,"teltek a napok",,
39450,"days of old",,,napok,,
39451,"days of yore",,,napok,,
39452,"day's work",,,"napi munka",,
39453,day-school,,noun,"napos iskola","day school","nem bentlakásos iskola"
39454,dayspring,ˈdāˌspriNG,noun,Dayspring,"sunrise|day spring|sun-up",napkelte
39455,daystar,,,daystar,,
39456,day-star,,,nap-csillag,,
39457,day-time,,noun,nappal,daytime,
39458,"daytime serial",,,"nappali soros",,
39459,day-tripper,,,day-tripper,,
39460,dazedly,,adverb,"elképedt hangon",,
39461,dazing,,verb,dazing,daze|daze,kábít|elszédít
39462,dazingly,,,dazingly,,
39463,dazzled,,verb,elkápráztatta,"dazzle|blind|dazzle|be dazzled",elkápráztat|elvakít
39464,dazzler,ˈdaz(ə)lər,,Dazzler,,
39465,dc,,,dc,,
39466,D-day,,noun,"Invázió napja",,"invázió napja|támadás napja"
39467,"de facto",,,"de facto",,
39468,"de jure",,,"de jure",,
39469,"de luxe",,,luxus,,
39470,"de novo",,,ismét,,
39471,"de rigueur",,,"de rigueur",,
39472,"de trop",,,"túl sok",,
39473,dea,,,ad,,
39474,deaconess,ˈdēkənis,noun,"női segédlelkész",,
39475,deaconry,,,deaconry,,
39476,deacons,,noun,diakónusok,deacon|licentiate|curate,segédlelkész
39477,deactivating,dēˈaktəvāt,verb,deaktiválás,deactivate|deactivate,"hatástalanít|de aktivál"
39478,"dead against",,,"halott ellen",,
39479,"dead air",,,"holt levegő",,
39480,"dead and buried",,,"halott és eltemetve",,
39481,"dead and gone",,,meghalunk,,
39482,"dead as a dodo",,,"halott, mint egy dodo",,
39483,"dead beat",,adjective,holtfáradt,exhausted|spent|weary|done|overwrought|beaten|dead-beat|dog-tired|washed-out|dead-beat,kimerült|lejmolós
39484,"dead body",,,"halott test",,
39485,"dead broke",,,"halott tört",,
39486,"dead center",,noun,holtpont,"blind spot|deadlock|stalemate|impasse",nyugvópont
39487,"dead certainty",,,"halott bizonyosság",,
39488,"dead duck",,,"halott kacsa",,
39489,"dead end",,noun,zsákutca,"blind alley|cul-de-sac|impasse",
39490,"dead giveaway",,,"halott ajándék",,
39491,"dead heat",,noun,dögmeleg,,holtverseny
39492,"dead house",,noun,"halott ház",deadhouse|mortuary,halottasház
39493,"dead in the water",,,"halott a vízben",,
39494,"dead leg",,,"halott láb",,
39495,"dead letter",,noun,"írott malaszt",,"kézbesíthetetlen levél"
39496,"dead level",,noun,"teljesen vízszintes sík",,
39497,"dead lock",,noun,"halott zár","blind spot|deadlock|stalemate|dead center|impasse",holtpont
39498,"dead man",,,halott,,
39499,"dead march",,noun,gyászinduló,,
39500,"dead meat",,,"halott hús",,
39501,"dead of night",,,"éjszaka halott",,
39502,"dead on",,,halott,,
39503,"dead on one's feet",,,"halott a lábán",,
39504,"dead pan",ˈdedˌpan,adjective,pléhpofa,insensitive|senseless|unfeeling|unmoved|thick-skinned|unaffected|dispassionate|passionless|cold-livered|dead-pan,érzéketlen|szenvtelen
39505,"dead past",,,"halott múlt",,
39506,"dead person",,,"halott személy",,
39507,"dead reckoning",,,"halott számolás",,
39508,"dead ringer",,,"halott csengő",,
39509,"dead room",,,"halott szoba",,
39510,"dead set",,,"halott készlet",,
39511,"dead set at",,,"halott meg",,
39512,"dead set on",,,meghalt,,
39513,"dead shot",,noun,deadshot,"marksman|sharpshooter|expert marksman",mesterlövész
39514,"dead soul",,,"halott lélek",,
39515,"dead stop",,,"halott megálló",,
39516,"dead tired",,,hullafáradt,,
39517,"dead to",,,halott,,
39518,dead-and-alive,,,"holt-és életben",,
39519,deadass,,,deadass,,
39520,dead-beat,,adjective,holtfáradt,exhausted|spent|weary|done|overwrought|dog-tired|washed-out,kimerült|lejmolós
39521,"deadbeat dad",,,"halottan apa",,
39522,dead-center,,noun,holtponti,"blind spot|deadlock|stalemate|dead center|impasse|dead center",holtpont|nyugvópont
39523,"dead-end street",,,zsákutca,,
39524,deadened,,verb,tompította,"lessen|dwindle|deaden|let up|deaden|blunt|buffer",csökken|tompít
39525,deadener,,,deadener,,
39526,deadening,,verb,gyengítés,"lessen|dwindle|deaden|let up|deaden|blunt|buffer",csökken|tompít
39527,deader,,adjective,deader,dead|deceased|gone|stone-dead|dead|inanimate,halott|holt
39528,deadeye,,,Deadeye,,
39529,dead-eye,,noun,"árbockötél-feszítő tengely",,
39530,deadfall,ˈdedˌfôl,noun,deadfall,trap|net|noose|dead-fall,kelepce
39531,deadhouse,,noun,halottasház,mortuary,
39532,deadline,ˈdedˌlīn,noun,határidő,"term|limit|borderline|demarcation|cut-off line|neat line",határvonal
39533,deadliness,,noun,"halálos volta vminek",,"halálos jelleg"
39534,deadlocked,,,holtponton,,
39535,"deadly lady",,,"halálos hölgy",,
39536,"deadly sin",,,"halálos bűn",,
39537,"deadly weapon",,,"halálos fegyver",,
39538,"deadly woman",,,"halálos nő",,
39539,dead-reckoning,,,dead-elszámolás,,
39540,dead-tired,,,hullafáradt,,
39541,deadweight,,,hordképességű,,
39542,deaf,def,adjective,süket,empty|blank|hollow|vacant|void,üres
39543,"deaf mute",,noun,"süket némítás",deaf-and-dumb|deaf-mute,süketnéma
39544,"deaf to",,,süket,,
39545,deafen,ˈdefən,verb,süketít,smother|suppress|damp|repress|quench,elfojt
39546,deafened,,verb,süketen,deafen|smother|suppress|damp|repress|quench|extinguish,süketít|elfojt
39547,deafeningly,,,deafeningly,,
39548,deaf-mute,,noun,süketnéma,deaf-and-dumb,
39549,deaf-muteness,,,süket-némaság,,
39550,"deal breaker",,,"kizáró ok",,
39551,"deal destruction",,,"foglalkozni pusztítással",,
39552,"deal in",,,foglalkozik,,
39553,"deal one in",,,foglalkozzon,,
39554,"deal out",,verb,kioszt,"hand out|allocate|give out|allot|dispense",
39555,"deal with",,verb,kezelni,"go in for|deal","foglalkozik vmivel"
39556,dealership,,noun,kereskedelem,commerce|trade,
39557,dealing,ˈdēliNG,noun,foglalkozó,division|dispensation,osztás
39558,"dealing with",,,üzletel,,
39559,deal-making,,,akció-készítés,,
39560,deals,,noun,ajánlatok,business|shop|store|deal|bargain|bargain|deal|haggling|dicker|settlement|agreement|deal|deal,"üzlet|alku|egyezség|nagy mennyiség"
39561,"deals with",,,"azzal számol",,
39562,deanery,ˈdēnərē,noun,esperesség,,
39563,"dear one",,,kedvesem,,
39564,dear-bought,,adjective,"drágán szerzett",,
39565,dearest,ˈdi(ə)rist,,legkedvesebb,,
39566,"dearest wish",,,"drága kívánság",,
39567,dearie,ˈdi(ə)rē,,kedveském,,
39568,dearly,ˈdi(ə)rlē,adverb,drága,,
39569,"dearly beloved",,,szeretett,,
